id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,
2439a252c610b641,What a fucking nosey asshole Any reason why you decided to butt your nose in where it doesn't belong?,1,0,1,0,1,0,
2439ec3c92343e2b,"""religious discriminationwe are struggling to justify the existence of this article, since no government discriminates against """"Neopaganism"""". At best, they discriminate against fringe religious groups in general. All flavours of neopaganism fall under this heading. Saying that religious discrimination may take place in states where there is no complete separation of church and state isn't biased in any direction, it is strictly a tautology intended to elucidate the nature of 'religious discrimination'.  (??""",0,0,0,0,0,0,
243a6f2c8d4d7e41,"""Editors are responsible for information they add to an article. I do not have any information as to where she is buried other than the reliable source cited in the article which says Montclair. If you can find a reliable source saying Orange, NJ, feel free to restore the information yourself, being sure to cite that source. Thank you. -   """,0,0,0,0,0,0,
243ac36f91c31530,Yes we were working together to write the articles but you have deities a lot of these articles and I thought you may be interested in helping.,0,0,0,0,0,0,
243b832763918238,"Ways to improve Gulrej khan king Hi, I'm Lstanley1979. Gulrej khan king, thanks for creating Gulrej khan king!I've just tagged the page, using our page curation tools, as having some issues to fix. Hi! thanks for uploading the article.The tags can be removed by you or another editor once the issues they mention are addressed. If you have questions, you can leave a comment on my talk page. Or, for more editing help, talk to the volunteers at the Teahouse.",0,0,0,0,0,0,
243bd2d71d3cc0df,I just stated my reason for deleting that POV statement and now your threatening to ban me. That's typical. I wonder why you haven't threatened to ban Bletch who keeps on sneaking his bias into the article?,0,0,0,0,0,0,
243bf497a426ef3f,""" Calling for a movement to eliminate Biritsh spelling on wikipedia This is a very serious issue that needs to be confronted. It is not professional, non-NPOV, and inconsistent that we have some articles with British spelling, and others without. There are even some articles that deal with something thats exclusively American, such as the White House for example, that have some words spelled the British way. This should not be, and there should be some uniformity if we wish to have a professional and reliable encyclopedia.Britian is the only English-speaking country that uses their own unique variation of the English language, and in British contexts, that's usually fine. But every other English-speaking country used the standard spelling, which is generally based on how the word actually sounds, and that should be the standard that Wikipedia uses. It makes absolutely no sense to use one country's variation of dialect, no matter how BIG, important, or """"popular"""" it is, and completely disregard the rest of the English-speaking world's orrect usage of the language. In fact, pretty much every article that contains a word that differs between the two dialects, the British version is favored. This, also, makes absolutely no sense. If the majority of a population speaks and/or writes a certain way, then it's institutions, endorsements, and websites should speak/write that certain way, too. It is understandable if this website was: www.wikpedia.co.uk, because that assumes that this is a primarily UK website. But, this website is: www.wikipedia.com, so it should follow the standard dialect that other """".com"""" use. This isn't in any way some sort of hate movement or opinion. This is an encyclopedia, and in encyclopedias, information must be consistent and reliable. Please take your time to think about this issue, for the uniformity of this encyclopedia will help ensure that the current and future quality standards will be upheld.Thanks,- """,0,0,0,0,0,0,
243c7ed8ee2d5bf8,"Start PageThis is a start page, so if anyone can help add info to this or pictures it will be much appreciated thanks!!",0,0,0,0,0,0,
243cba281bb79074,"""This is the exact quote: """"Thus, we can begin by looking at the Kshatriyas and Samantans, the two castes to which the kings and chiefs claimed to belong; however, most unbiased observers (Dumont [1961:27] is an exception) have concluded that the Kshatriya and Samantan subdivisions should be treated merely as supereminent Nayar subdivisions"""" """,0,0,0,0,0,0,
243ef79cf21daa72,"Yeah this is water under the bridge but that first block was never lifted.  I still couldn't make edits or view talk pages of other editors even after your intervention.  Also, I have no problem with the block for my crawl back to black van comment if 125.204.39.85 had also been block for his comments.  But only I received the block",0,0,0,0,0,0,
243f50deefb5165b,"Hello Eternal, welcome to Wikipedia. Here are some useful links in case you haven't already found them;How to edit a pageHow to write a great articleNaming conventionsManual of StyleIf you have any questions, see the help pages, add a question to the village pump or ask me on my talk page. I hope you enjoy editing here and being a Wikipedian! 22:41, Sep 24, 2003 (UTC)",0,0,0,0,0,0,
2441eb8b24ccf991,PS. Since when is it your responsibility to just delete the content instead? Genius.,0,0,0,0,0,0,
2442d9245263cfd1,"September 2014 (UTC)I think the links should be OK now. If any are still not working please tell me and I'll try to fix them.   15:40, 30",0,0,0,0,0,0,
2442e035e9e93e28,"A small minority of the votersyes, it was a votespecified all faith-related topics. And, if it is not not a vote, you are supposed to look at the strength and quality of the arguments. Your answer above suggests you just based your decision on popularity.",0,0,0,0,0,0,
2442fa76f9bb5b8c,Anything is better than the plaque.,0,0,0,0,0,0,
2444c8529228e634,"""Oh well done. I'm such a bad boy for """"attacking"""" the """"1st Lord Baron Wikipedia"""". Jesus Christ. All I wanted to know was why the Trayvon Martin case is not on the front page, and now I know - the people making the decisions about such things are just talking utter crap, and people like you who are apparently so threatened by the prospect of the outside world finding this out, you're prepared to shut me up, forcibly (and more despicably, others then remove my comments as if they had never been made at all). Well done. Now the """"1st Lord Baron Wikipedia"""" can feel safe in the knowledge that he doesn't have to exlain why he thinks a 20,000 word article and a 15,000 word article on something that's being reported around the world, has """"negligible encyclopedic value"""". And now someone who calls himself a bucket thinks the Lord was simply exercising """"most right and proper good humor"""" in acting that way. And the person going around erasing all my comments to hide them from outsiders calls himself a """"Rambling Man"""". Very apt. This isn't an encyclopedia, it's a playground. It only remains to be seen what the name """"Bishonen"""" means, but I doubt it's anything remotely intellectual, probaby just a cartoon reference or something. You can block me for 48 hours, but on this evidence, Wikipedia is going to be a poor excuse of a website encyclopedia for life. On further investigation, the 1st Lord seems to have got me blocked by crying to admins, which seems apt, seeing as he's probably just a child himself. Presumably the use of the phrase """"Bishonen with her finger on the trigger"""" over there waa meant to be funny, but given the context of my complaint, it's just rather tragic. Still, back to the real world, where the Trayvon Martin case is actually real news, and the issues it involves are of encyclopedic value. I've found the articles myself without the help of the front page, but apparently anyone else looking for them can just go to hell (in a bucket?). All, you Lords, Hell Buckets and Rambling men get back to whatever the fuck it is you do around here, which is cleearly not creating a useful encyclopedia (at least you don't seem to be getting in the way of the people who actually managed to write the articles on the shooting and trial, so thank fuck for that).""",1,0,0,0,0,0,
244521466491174b,"The Germany time line is quite correct for the northern hemisphere. My Singers begin heat cycles in August and the second a few months later, and sometimes a third end in mid winter. I have a male pup from a third heat cycle that was born in early spring like a wolf or coyote. This breeding only occurred because I had them separated for the first 2 cycles, thinking them over, then put them back together. Then the third happened, with pregnancy as the result. 3 Heat periods in 6 months or less is quite remarkable for any canine.",0,0,0,0,0,0,
2445357fe929316d,"I think it means: Me Turk man, me vill rape bad woomen, me vill teach dem a lesson, me vill cover der faces in gauze. me vill beat dose harlots up! S",1,0,0,0,0,0,
24453940b1b8f8f3,"Wikipedia:Arbitration/Requests/Case/Manipulation of BLPs closed An arbitration case regarding of Manipulation BLPs has now closed and the final decision is viewable at the link above. The following is a summary of the remedies enacted:Editors who edit biographies of living persons and other articles referring to living persons are reminded that all editing of these articles must comply with the biographies of living persons policy and with the principles set forth in this decision;Administrators and other experienced editors are urged to take a proactive approach in addressing violations and alleged violations of the BLP policy, and to watchlist the BLP noticeboard and participate in discussing and resolving issues raised on that noticeboard;To the extent that parties to this case have been engaged in protracted disputes and quarrels with other parties, the feuding parties are urged to avoid any unnecessary interactions with each other, except to the extent necessary for legitimate purposes such as dispute resolution;If disputes concerning editing of biographical articles by parties to this case persist, appropriate dispute resolution methods should be pursued. To the extent possible, such dispute resolution should be led and addressed by editors who have not previously been involved in the disputes. If a specific serious dispute persists and other means of dispute resolution do not resolve them, a new and specifically focused request for arbitration may be filed not less than 30 days from the date of this decision.For the Arbitration Committee,",0,0,0,0,0,0,
2446369582917a15,""" thank you for your input... this is exactly what the """"article"""" needed.  The parts of the article that are being removed are not significant parts and rather are blatant negative attacks.  While i agree that lying to prospective students is not correct, why must negative parts be highlighted?  Keep the """"facts"""" (and i use this word lightly with this group) positive and help the school advance and produce better and more qualified physicians.  Prospective students can always call up their own state board, or the school's offices and ask questions.  If anyone has proof that the CURRENT administration or school officials are lying to students (prospective or current) about possible licensure issue or charter issues or anything for that matter then yes the school should have something formally brought against them.  From what i see the school has been and is currently being investigated by the GMC.  Should the GMC find problems that are beyond repair then the school will be closed, and then no need to bash anymore because the school will fade away.  Portraying the situation as constantly negative helps no one at all.  Help correct the problem instead of being a problem (I'm looking at 2 of you and you know who you are) and portray the positive side of things that several students despite this situation have gone on to be very successful.  thank you again for impartial imput.  3 August 2006 (UTC)""",0,0,0,0,0,0,
24465cee4a531fce,Maybe people are not prepared to accept the whitewash that the wiki admins and OTRS people are trying to impose.  Why not have a discussion about what exactly is allowed on the page?  When a subject is quite happy to give interviews to the national press discussing their life for publicity they can't then demand complete privacy.   (82.132.238.244  ),0,0,0,0,0,0,
24467c4291cd5312,"Milestones I'm looking for the source, but IIRC, the Super Cub became the #1 motor vehicle in about 1997, when the total a was about 25 million. That's probably the most significant milestone. In 2008 was when the numbers totaled 60 million. One (weak) source I saw said it was 65 million as of 2010, not surprising given current production rates. It's somewhat trivial, but it would be nice to nail it down if we can.",0,0,0,0,0,0,
2447996b178da6c3,"""Ahh socks, that changes my whole reasoning for the protection. Marked down semi. Let me know if they come back, file a SPI and just note it here, and I will nuke them and get them out of your way.  [[User_Talk:DeltaQuad| (t) ]]  (e) """,0,0,0,0,0,0,
24480ec3dae4ddfd,"Yes, I agreed here. Regards,",0,0,0,0,0,0,
